threadNum,time
1,4762
1,4701
1,4710
1,7464
1,8903
1,8908
1,8989
1,8898
1,8902
1,8922
1,8909
1,8861
1,8955
1,8889
1,8926
1,8881
1,8949
1,8928
1,9029
1,9009
1,8991
1,8928
1,8958
1,8906
1,8924
1,8939
1,9016
1,8966
1,8883
1,8848
1,8978
1,8767
1,8880
1,8880
1,8787
1,8838
1,8826
1,8798
1,8827
1,8802
1,8810
1,8815
1,8789
1,8796
1,8837
1,8862
1,8852
1,8823
1,8769
1,8813
1,8842
1,8799
1,8786
1,8824
1,8781
1,8815
1,8801
1,8814
1,8841
1,8835
1,8925
1,8804
1,8778
1,8822
1,8845
1,8831
1,8812
1,8838
1,8812
1,8798
1,8818
1,8768
1,8847
1,8809
1,8815
1,8803
1,8826
1,8798
1,8831
1,8805
1,8830
1,8860
1,8903
1,8807
1,8778
1,8804
1,8799
1,8862
1,8795
1,8827
1,8796
1,8837
1,8821
1,8817
1,8829
1,8843
1,8786
1,8787
1,8869
1,8766
2,4830
2,4799
2,4783
2,4759
2,4749
2,4818
2,4775
2,4794
2,4809
2,4785
2,4841
2,4787
2,4822
2,4782
2,4801
2,4797
2,4781
2,4780
2,4818
2,4781
2,4808
2,4798
2,4791
2,4789
2,4821
2,4792
2,4801
2,4790
2,4777
2,4832
2,4793
2,4793
2,4797
2,4842
2,4807
2,4781
2,4859
2,4744
2,4772
2,4798
2,4785
2,4852
2,4772
2,4763
2,4814
2,4778
2,4796
2,4834
2,4787
2,4797
2,4810
2,4771
2,4830
2,4811
2,4822
2,4763
2,4750
2,4808
2,4785
2,4800
2,4806
2,4804
2,4798
2,4808
2,4784
2,4818
2,4823
2,4856
2,4749
2,4789
2,4799
2,4847
2,2703
2,2549
2,2513
2,2523
2,2540
2,2545
2,2542
2,2525
2,2532
2,2538
2,2548
2,2511
2,2551
2,2536
2,2507
2,2571
2,2548
2,2544
2,2535
2,2538
2,2540
2,2508
2,2512
2,2556
2,2540
2,2552
2,2537
2,2534
3,1783
3,1761
3,1792
3,1766
3,1773
3,1777
3,1797
3,1766
3,1775
3,1777
3,1792
3,1769
3,1785
3,1791
3,1770
3,1772
3,1768
3,1776
3,1765
3,1762
3,1777
3,1753
3,1786
3,1758
3,1778
3,1768
3,1793
3,1779
3,1788
3,1742
3,1749
3,1878
3,1788
3,1792
3,1767
3,1774
3,1789
3,1775
3,1804
3,1774
3,1788
3,1796
3,1790
3,1761
3,1774
3,1800
3,1782
3,1786
3,1786
3,1762
3,1802
3,1765
3,1771
3,1761
3,1790
3,1803
3,1803
3,1757
3,1792
3,1766
3,1768
3,1743
3,1786
3,1760
3,1756
3,1772
3,1788
3,1773
3,1767
3,1774
3,1781
3,1769
3,1772
3,1788
3,1788
3,1784
3,1779
3,1780
3,1783
3,1760
3,1782
3,1793
3,1779
3,1788
3,1780
3,1774
3,1779
3,1797
3,1775
3,1784
3,1792
3,1758
3,1775
3,1765
3,1770
3,1763
3,1772
3,1771
3,1764
3,1762
4,1450
4,1464
4,1442
4,1479
4,1462
4,1447
4,1454
4,1449
4,1464
4,1452
4,1459
4,1460
4,1472
4,1457
4,1468
4,1459
4,1462
4,1462
4,1462
4,1464
4,1458
4,1474
4,1489
4,1537
4,1531
4,1545
4,1520
4,1522
4,1518
4,1552
4,1512
4,1527
4,1518
4,1529
4,1512
4,1537
4,1502
4,1528
4,1517
4,1523
4,1502
4,1520
4,1504
4,1522
4,1517
4,1522
4,1508
4,1519
4,1515
4,1520
4,1518
4,1528
4,1533
4,1522
4,1524
4,1508
4,1523
4,1508
4,1530
4,1528
4,1536
4,1530
4,1514
4,1522
4,1524
4,1528
4,1517
4,1511
4,1504
4,1552
4,1508
4,1519
4,1523
4,1519
4,1523
4,1528
4,1529
4,1521
4,1524
4,1517
4,1528
4,1525
4,1527
4,1513
4,1519
4,1527
4,1511
4,1515
4,1523
4,1502
4,1523
4,1516
4,1520
4,1499
4,1503
4,1515
4,1526
4,1514
4,1531
4,1520
5,1264
5,1279
5,1273
5,1285
5,1276
5,1292
5,1272
5,1270
5,1271
5,1270
5,1317
5,1280
5,1298
5,1275
5,1275
5,1262
5,1276
5,1280
5,1268
5,1273
5,1277
5,1275
5,1272
5,1263
5,1272
5,1278
5,1283
5,1270
5,1281
5,1264
5,1289
5,1281
5,1282
5,1268
5,1287
5,1280
5,1282
5,1272
5,1284
5,1277
5,1286
5,1288
5,1283
5,1268
5,1289
5,1283
5,1276
5,1276
5,1279
5,1276
5,1286
5,1282
5,1287
5,1274
5,1273
5,1270
5,1280
5,1320
5,1269
5,1273
5,1276
5,1280
5,1276
5,1274
5,1280
5,1271
5,1273
5,1270
5,1274
5,1276
5,1274
5,1274
5,1283
5,1266
5,1272
5,1277
5,1282
5,1284
5,1271
5,1279
5,1276
5,1271
5,1287
5,1278
5,1292
5,1279
5,1281
5,1278
5,1285
5,1284
5,1279
5,1288
5,1274
5,1271
5,1276
5,1278
5,1268
5,1276
5,1300
5,1272
6,1193
6,1204
6,1199
6,1187
6,1215
6,1208
6,1198
6,1191
6,1201
6,1204
6,1189
6,1201
6,1190
6,1196
6,1189
6,1195
6,1198
6,1187
6,1204
6,1191
6,1192
6,1200
6,1198
6,1197
6,1193
6,1192
6,1199
6,1196
6,1201
6,1230
6,1196
6,1192
6,1210
6,1193
6,1203
6,1194
6,1190
6,1195
6,1191
6,1196
6,1202
6,1202
6,1201
6,1195
6,1189
6,1204
6,1199
6,1181
6,1198
6,1186
6,1190
6,1189
6,1193
6,1185
6,1196
6,1213
6,1203
6,1195
6,1200
6,1204
6,1198
6,1204
6,1195
6,1193
6,1203
6,1200
6,1207
6,1194
6,1210
6,1188
6,1191
6,1201
6,1211
6,1199
6,1193
6,1208
6,1198
6,1189
6,1196
6,1200
6,1192
6,1198
6,1207
6,1186
6,1203
6,1201
6,1205
6,1207
6,1194
6,1183
6,1203
6,1204
6,1194
6,1212
6,1196
6,1195
6,1203
6,1202
6,1208
6,1189
7,1129
7,1125
7,1123
7,1126
7,1124
7,1133
7,1142
7,1125
7,1134
7,1134
7,1132
7,1135
7,1134
7,1122
7,1134
7,1133
7,1125
7,1141
7,1129
7,1124
7,1124
7,1126
7,1131
7,1124
7,1130
7,1118
7,1127
7,1135
7,1124
7,1126
7,1124
7,1125
7,1123
7,1127
7,1134
7,1123
7,1124
7,1131
7,1130
7,1119
7,1132
7,1122
7,1124
7,1120
7,1132
7,1125
7,1123
7,1136
7,1123
7,1124
7,1128
7,1134
7,1133
7,1126
7,1126
7,1128
7,1125
7,1131
7,1117
7,1171
7,1120
7,1126
7,1126
7,1134
7,1141
7,1122
7,1116
7,1115
7,1130
7,1120
7,1131
7,1117
7,1126
7,1124
7,1134
7,1128
7,1120
7,1122
7,1116
7,1130
7,1139
7,1125
7,1116
7,1115
7,1134
7,1120
7,1122
7,1126
7,1131
7,1138
7,1137
7,1133
7,1135
7,1127
7,1139
7,1135
7,1120
7,1132
7,1135
7,1125
8,1080
8,1081
8,1073
8,1075
8,1077
8,1075
8,1065
8,1072
8,1079
8,1078
8,1083
8,1076
8,1074
8,1112
8,1079
8,1077
8,1069
8,1076
8,1078
8,1071
8,1073
8,1082
8,1072
8,1077
8,1074
8,1066
8,1082
8,1085
8,1075
8,1081
8,1074
8,1082
8,1079
8,1065
8,1083
8,1072
8,1079
8,1074
8,1075
8,1076
8,1092
8,1074
8,1088
8,1067
8,1075
8,1080
8,1074
8,1090
8,1071
8,1077
8,1071
8,1076
8,1075
8,1070
8,1074
8,1076
8,1075
8,1067
8,1082
8,1072
8,1081
8,1082
8,1073
8,1070
8,1059
8,1080
8,1077
8,1077
8,1077
8,1122
8,1083
8,1072
8,1074
8,1078
8,1086
8,1078
8,1069
8,1076
8,1080
8,1078
8,1080
8,1069
8,1071
8,1078
8,1086
8,1141
8,1118
8,1120
8,1105
8,1071
8,1083
8,1083
8,1093
8,1068
8,1085
8,1072
8,1080
8,1073
8,1082
8,1080
9,1035
9,1024
9,1033
9,1045
9,1029
9,1038
9,1040
9,1033
9,1049
9,1032
9,1043
9,1028
9,1034
9,1035
9,1035
9,1037
9,1033
9,1050
9,1037
9,1030
9,1039
9,1034
9,1034
9,1033
9,1042
9,1036
9,1082
9,1034
9,1036
9,1032
9,1038
9,1030
9,1049
9,1037
9,1036
9,1039
9,1046
9,1033
9,1032
9,1027
9,1034
9,1041
9,1031
9,1039
9,1042
9,1036
9,1032
9,1042
9,1038
9,1029
9,1021
9,1037
9,1032
9,1032
9,1033
9,1047
9,1041
9,1032
9,1047
9,1022
9,1043
9,1034
9,1034
9,1037
9,1037
9,1036
9,1043
9,1042
9,1036
9,1036
9,1039
9,1035
9,1027
9,1036
9,1041
9,1044
9,1025
9,1039
9,1033
9,1037
9,1032
9,1037
9,1034
9,1032
9,1079
9,1041
9,1042
9,1041
9,1041
9,1032
9,1035
9,1041
9,1028
9,1035
9,1033
9,1038
9,1041
9,1040
9,1035
9,1034
10,989
10,998
10,1015
10,991
10,989
10,995
10,1003
10,992
10,995
10,996
10,996
10,998
10,994
10,999
10,998
10,1004
10,989
10,998
10,1008
10,992
10,987
10,1001
10,997
10,1003
10,986
10,989
10,994
10,998
10,1005
10,991
10,1003
10,992
10,996
10,988
10,1006
10,1005
10,992
10,986
10,991
10,996
10,1001
10,1000
10,1002
10,995
10,1031
10,997
10,1009
10,997
10,1004
10,998
10,994
10,1003
10,1004
10,990
10,1001
10,999
10,1002
10,1003
10,1003
10,998
10,994
10,997
10,987
10,1000
10,997
10,1003
10,1006
10,1001
10,1004
10,1000
10,1001
10,1005
10,1011
10,998
10,1006
10,1000
10,1005
10,997
10,1003
10,996
10,992
10,982
10,988
10,989
10,1001
10,1009
10,989
10,988
10,1000
10,1006
10,1002
10,998
10,990
10,1012
10,984
10,992
10,1000
10,993
10,997
10,1003
11,1017
11,1013
11,1013
11,1011
11,1049
11,1007
11,1005
11,1019
11,1012
11,1006
11,1014
11,1016
11,1005
11,1015
11,1010
11,997
11,1011
11,1013
11,1015
11,1005
11,1019
11,1015
11,1008
11,1037
11,1021
11,1010
11,1010
11,1012
11,1011
11,1020
11,1021
11,1068
11,1057
11,1048
11,1038
11,1015
11,1022
11,1025
11,1014
11,1010
11,1015
11,1012
11,1017
11,1011
11,1010
11,1013
11,1018
11,1004
11,998
11,1015
11,1003
11,1011
11,1009
11,1038
11,1021
11,1012
11,1021
11,1012
11,1008
11,1015
11,1014
11,1011
11,1014
11,1044
11,1017
11,1013
11,1028
11,1005
11,1020
11,1013
11,1017
11,1016
11,1008
11,1009
11,1011
11,1009
11,1001
11,1006
11,1022
11,1008
11,1018
11,1009
11,1006
11,1015
11,1018
11,1010
11,1005
11,1017
11,1012
11,1016
11,1008
11,1011
11,1007
11,1002
11,1015
11,1008
11,1011
11,1007
11,1016
11,1023
12,984
12,989
12,984
12,986
12,980
12,993
12,986
12,979
12,984
12,978
12,986
12,992
12,990
12,988
12,988
12,989
12,991
12,992
12,989
12,983
12,994
12,997
12,980
12,1023
12,999
12,998
12,989
12,994
12,989
12,994
12,994
12,980
12,991
12,992
12,983
12,997
12,986
12,984
12,1000
12,987
12,979
12,986
12,991
12,986
12,997
12,989
12,983
12,994
12,1006
12,1044
12,991
12,987
12,990
12,991
12,993
12,1003
12,986
12,995
12,997
12,980
12,982
12,989
12,992
12,989
12,998
12,1002
12,987
12,978
12,989
12,991
12,978
12,986
12,997
12,994
12,995
12,981
12,990
12,987
12,986
12,988
12,992
12,992
12,996
12,983
12,1047
12,993
12,993
12,984
12,995
12,990
12,989
12,989
12,991
12,991
12,986
12,992
12,999
12,984
12,992
12,1001
13,986
13,987
13,995
13,991
13,985
13,985
13,986
13,993
13,989
13,989
13,983
13,979
13,980
13,990
13,986
13,993
13,987
13,984
13,993
13,990
13,996
13,980
13,981
13,986
13,978
13,988
13,979
13,980
13,979
13,992
13,981
13,981
13,982
13,983
13,989
13,987
13,986
13,989
13,994
13,999
13,978
13,995
13,981
13,989
13,989
13,1029
13,982
13,990
13,988
13,985
13,988
13,997
13,988
13,981
13,993
13,985
13,984
13,977
13,988
13,984
13,996
13,978
13,983
13,977
13,981
13,980
13,988
13,987
13,966
13,988
13,981
13,986
13,983
13,982
13,979
13,984
13,978
13,979
13,975
13,985
13,988
13,992
13,980
13,992
13,991
13,986
13,981
13,988
13,977
13,991
13,981
13,986
13,987
13,984
13,988
13,983
13,982
13,981
13,989
13,995
14,975
14,984
14,977
14,975
14,974
14,971
14,993
14,983
14,989
14,971
14,985
14,978
14,974
14,981
14,969
14,980
14,972
14,981
14,970
14,979
14,977
14,972
14,977
14,976
14,983
14,980
14,973
14,978
14,965
14,978
14,972
14,1001
14,976
14,974
14,979
14,970
14,977
14,985
14,984
14,973
14,983
14,987
14,978
14,979
14,976
14,968
14,976
14,974
14,978
14,972
14,984
14,973
14,969
14,968
14,975
14,968
14,1001
14,978
14,976
14,976
14,1053
14,985
14,972
14,976
14,975
14,973
14,981
14,982
14,1018
14,977
14,974
14,970
14,982
14,963
14,979
14,977
14,982
14,981
14,972
14,986
14,971
14,968
14,980
14,980
14,978
14,977
14,986
14,986
14,970
14,982
14,983
14,978
14,972
14,984
14,985
14,1017
14,980
14,980
14,976
14,981
15,956
15,952
15,960
15,961
15,964
15,967
15,955
15,967
15,965
15,966
15,961
15,972
15,958
15,956
15,953
15,959
15,964
15,959
15,966
15,965
15,965
15,962
15,959
15,966
15,959
15,962
15,956
15,966
15,959
15,954
15,1004
15,966
15,974
15,970
15,956
15,963
15,970
15,960
15,962
15,968
15,968
15,972
15,958
15,954
15,960
15,962
15,951
15,956
15,963
15,958
15,968
15,949
15,965
15,961
15,959
15,957
15,959
15,959
15,960
15,962
15,965
15,951
15,964
15,961
15,960
15,958
15,952
15,959
15,962
15,960
15,962
15,956
15,962
15,957
15,959
15,966
15,960
15,955
15,956
15,965
15,955
15,961
15,956
15,957
15,956
15,966
15,959
15,962
15,955
15,964
15,952
15,962
15,962
15,988
15,970
15,962
15,970
15,956
15,965
15,959
16,979
16,977
16,968
16,979
16,969
16,981
16,972
16,977
16,976
16,967
16,974
16,977
16,970
16,970
16,981
16,989
16,983
16,972
16,973
16,973
16,978
16,971
16,980
16,987
16,961
16,980
16,967
16,974
16,971
16,970
16,967
16,979
16,982
16,979
16,960
16,978
16,968
16,970
16,972
16,967
16,977
16,975
16,963
16,975
16,979
16,984
16,974
16,979
16,977
16,966
16,971
16,971
16,978
16,976
16,964
16,1015
16,982
16,964
16,978
16,973
16,967
16,980
16,967
16,974
16,970
16,963
16,973
16,976
16,971
16,972
16,970
16,967
16,972
16,979
16,980
16,963
16,966
16,975
16,975
16,977
16,969
16,977
16,966
16,973
16,972
16,964
16,979
16,974
16,976
16,973
16,977
16,963
16,976
16,968
16,973
16,977
16,958
16,977
16,969
16,972
17,978
17,969
17,972
17,970
17,968
17,991
17,976
17,974
17,974
17,978
17,979
17,981
17,976
17,985
17,983
17,969
17,979
17,1013
17,969
17,979
17,966
17,969
17,984
17,980
17,976
17,970
17,973
17,980
17,968
17,970
17,975
17,980
17,969
17,979
17,980
17,974
17,980
17,971
17,979
17,970
17,985
17,971
17,995
17,977
17,977
17,969
17,978
17,974
17,975
17,987
17,972
17,975
17,976
17,976
17,971
17,971
17,977
17,976
17,977
17,983
17,970
17,968
17,984
17,974
17,973
17,996
17,968
17,976
17,984
17,977
17,969
17,976
17,969
17,972
17,970
17,971
17,977
17,976
17,983
17,1005
17,967
17,988
17,967
17,974
17,977
17,976
17,975
17,977
17,979
17,971
17,973
17,973
17,964
17,977
17,973
17,972
17,975
17,970
17,978
17,979
18,978
18,975
18,973
18,969
18,972
18,980
18,973
18,978
18,980
18,977
18,979
18,979
18,987
18,979
18,973
18,979
18,977
18,972
18,989
18,980
18,979
18,981
18,982
18,983
18,976
18,987
18,978
18,979
18,981
18,973
18,973
18,980
18,968
18,979
18,975
18,974
18,986
18,972
18,984
18,976
18,1007
18,988
18,978
18,980
18,975
18,973
18,973
18,976
18,975
18,981
18,978
18,972
18,975
18,971
18,979
18,977
18,971
18,979
18,970
18,972
18,977
18,977
18,979
18,972
18,977
18,972
18,978
18,983
18,973
18,981
18,979
18,983
18,974
18,975
18,975
18,969
18,980
18,970
18,970
18,975
18,978
18,978
18,978
18,983
18,973
18,972
18,967
18,969
18,981
18,979
18,983
18,976
18,981
18,974
18,978
18,981
18,979
18,973
18,971
18,978
19,1041
19,1020
19,1068
19,1039
19,1017
19,1025
19,1037
19,1025
19,1025
19,1026
19,1021
19,1024
19,1027
19,1017
19,1022
19,1021
19,1037
19,1025
19,1026
19,1031
19,1030
19,1027
19,1036
19,1022
19,1027
19,1032
19,1043
19,1017
19,1029
19,1035
19,1021
19,1014
19,1018
19,1026
19,1022
19,1035
19,1016
19,1026
19,1019
19,1019
19,1027
19,1015
19,1019
19,1020
19,1018
19,1024
19,1039
19,1023
19,1026
19,1033
19,1030
19,1020
19,1012
19,1025
19,1015
19,1017
19,1025
19,1027
19,1031
19,1025
19,1034
19,1070
19,1040
19,1027
19,1021
19,1026
19,1038
19,1031
19,1016
19,1064
19,1059
19,1028
19,1031
19,1025
19,1016
19,1020
19,1033
19,1032
19,1020
19,1031
19,1019
19,1023
19,1012
19,1027
19,1014
19,1022
19,1027
19,1027
19,1030
19,1046
19,1024
19,1031
19,1022
19,1017
19,1023
19,1018
19,1030
19,1024
19,1010
19,1028
